Nama Lengkap,NIK,Email,No Telepon,No Kartu Kredit,Gaji Bulanan,Alamat
Budi Santoso,3171011503880001,budi.santoso@email.com,081234567890,4532711098234112,12500000,"Jl. Sudirman No. 45, Jakarta Selatan"
Siti Rahmawati,3171025208910002,siti.rahmawati@gmail.com,081798765432,5412753490128834,8500000,"Jl. Gatot Subroto No. 12, Jakarta Selatan"
Dewi Lestari,3171036101950003,dewi.lestari@yahoo.com,085611223344,378282246100992,15000000,"Jl. Pemuda No. 88, Semarang"
Agus Wijaya,3171042007850004,agus.wijaya@outlook.com,081344556677,6011003488219034,9200000,"Jl. Malioboro No. 23, Yogyakarta"
Rina Kartika,3171054911930005,rina.kartika@gmail.com,087899001122,4916882310492811,11000000,"Jl. Diponegoro No. 101, Surabaya"
Ahmad Hidayat,3171061204870006,ahmad.hidayat@company.co.id,081122334455,5201449012883412,18500000,"Jl. Asia Afrika No. 67, Bandung"
Mega Putri,3171076809980007,mega.putri@hotmail.com,085766778899,4532991028347712,7800000,"Jl. Gajah Mada No. 34, Medan"
Joko Susilo,3171080402830008,joko.susilo@yahoo.co.id,081833445566,5321889012349988,10500000,"Jl. Udayana No. 19, Denpasar"
Fitriani Pratama,3171095510900009,fitriani.p@gmail.com,085277889900,4024007198234109,13200000,"Jl. Ahmad Yani No. 56, Makassar"
Eko Prasetyo,3171101806920010,eko.prasetyo@domain.org,081399001122,5105102938475610,16000000,"Jl. Veteran No. 78, Palembang"
